cascade_id,source_error_id,transcript_source,model,claim_in_summary,original_in_transcript,cascade_type,severity,notes
C01,E02,gemini,claude,She argues that evals serve a purpose,I'm much less bearish on it,error_avoided,minor,Claude's Gemini-based summary does not mention the bearish/bullish stance at all. The opening ambiguity about Chip's market stance is sidestepped entirely.
C02,E02,gemini,gemini,(no mention of bearish stance),I'm much less bearish on it,error_avoided,minor,Gemini's summary of its own transcript also skips the bearish framing entirely.
C03,E02,gemini,openai_4o,(no mention of bearish stance),I'm much less bearish on it,error_avoided,minor,GPT-4o summary of Gemini transcript skips the opening exchange.
C04,E02,gemini,openai,(no mention of bearish stance),I'm much less bearish on it,error_avoided,minor,GPT-5.4 summary of Gemini transcript also skips it.
C05,E02,reduct,claude,(no mention of bearish stance),I'm actually a bit bearish on it,error_avoided,minor,"Claude's Reduct-based summary does not mention the bearish/bullish stance despite Reduct having the opposite polarity (""a bit bearish"") from Gemini."
C06,E02,reduct,gemini,(no mention of bearish stance),I'm actually a bit bearish on it,error_avoided,minor,Gemini's Reduct-based summary also skips it.
C07,E02,reduct,openai,(no mention of bearish stance),I'm actually a bit bearish on it,error_avoided,minor,GPT-5.4's Reduct-based summary skips it.
C08,E02,reduct,openai_4o,(no mention of bearish stance),I'm actually a bit bearish on it,error_avoided,minor,GPT-4o's Reduct-based summary skips it.
C09,E02,rev,claude,(no mention of bearish stance),I'm not sure if I'm bearish on it,error_avoided,minor,Claude's Lenny-based summary does not reference the bearish/bullish framing.
C10,E02,rev,gemini,(no mention of bearish stance),I'm not sure if I'm bearish on it,error_avoided,minor,Gemini's Lenny-based summary skips it.
C11,E02,rev,openai,(no mention of bearish stance),I'm not sure if I'm bearish on it,error_avoided,minor,GPT-5.4's Lenny-based summary skips it.
C12,E02,rev,openai_4o,(no mention of bearish stance),I'm not sure if I'm bearish on it,error_avoided,minor,"GPT-4o's Lenny-based summary skips it. All 12 summaries avoid this critical divergence point — none report Chip's market stance, so the contradictory transcriptions never cascade."
C13,E05,gemini,claude,(no mention of companies using data),maybe they will be able to use that to like have some insight,error_avoided,minor,Claude does not reference the data-usage claim from the Gemini transcript.
C14,E05,reduct,claude,(no mention of companies using data),Maybe they wouldn't be able to use that to like have some insights,error_avoided,minor,Claude does not reference the opposite (negative) version from Reduct either.
C15,E05,rev,claude,(no mention of companies using data),maybe they wouldn't be able to use that to have some insight,error_avoided,minor,Claude skips the passage in all three transcript versions.
C16,E16,gemini,claude,(does not name the specific writing domain),creative writing,error_avoided,minor,"Claude's Gemini summary does not quote the specific term ""creative writing"" — it refers generically to eval design for model developers."
