divergence_id,timestamp_approx,manual_audit_ground_truth,gemini_transcript,reduct_transcript,rev_transcript,divergence_type,severity,notes
AK01,00:00:00,"Aishwarya: I was part of that group, so I kind of know about the questions that he comes up with.","Aishwarya: I was part of that group so I kind of know um about the questions that he comes up with.","Speaker 1 [00:00:00]: I was part of that group. So I kind of know about the questions that he comes up with.","Aishwarya Naresh Reganti: I was part of that group, so I kind of know-",speaker_misattribution,moderate,"Reduct labels everyone generic 'Speaker 1' / 'Speaker 2' / 'Speaker 3' across the entire 5-minute clip; Gemini correctly identifies Aishwarya by name; Rev names her in full ('Aishwarya Naresh Reganti')."
AK02,00:00:11,"Lenny: Okay. Let me talk about another topic","Host (Kiriti): Okay let me talk about uh another topic","Speaker 2: Okay, let me talk about another topic","Lenny Rachitsky: Okay. Let me talk about another topic",speaker_misattribution,critical,"Gemini misattributes Lenny's question to 'Host (Kiriti)' — labels the host (Lenny) as guest Kiriti. Reduct labels generic 'Speaker 2.' Only Rev correctly names Lenny."
AK03,00:00:25,"that you don't need evals. You can just feel the vibes","that why we you don't need evals you can just feel the vibes","that way. You don't need evals. You can just feel the vibes","that you don't need evals. You can just feel the vibes",word_addition,moderate,"Gemini adds 'why we' (junk disfluency). Reduct adds 'that way' (misheard 'that you' as 'that way'). Rev clean."
AK04,00:00:35,"What's your take on evals? How far does that take people in solving a lot of the problems that you talk about?","What's your take on evals? How far does that take people in solving a lot of the problems that you talked about?","What's your take on evals? How far does that take people in solving a lot of the problems that you talk about?","What's your take on evals? How far does that take people in solving a lot of the problems that you talk about?",word_substitution,minor,"Gemini renders 'talked' (past tense); ground truth, Reduct, and Rev all have 'talk' (present)."
AK05,00:00:42,"Kiriti: In terms of what is going on in the community, I feel there's just this false dichotomy","Aishwarya: In terms of like what is going on in the community I I feel there's like this false dichotomy","Speaker 3: In terms of like what is going on in the community, I feel there's this false dichotomy","Kiriti Badam: In terms of what is going on in the community, I feel there's just this false dichotomy",speaker_misattribution,critical,"Gemini misattributes this answer (Kiriti's) to Aishwarya — gets the wrong guest. Reduct uses generic 'Speaker 3.' Only Rev correctly attributes to Kiriti."
AK06,00:01:46,"with the AI agents, you need to be monitoring at a lot more granularity","with AI agents you need to be monitoring like at a lot more granularity","with the AI agents, you will need to be monitoring like a lot more granularity","with the AI agents, you need to be monitoring a lot more granularity",word_addition,minor,"Reduct adds 'will' before 'need.' Gemini and Reduct both add 'like.' Minor disfluency variations."
AK07,00:02:13,"is not meeting the customer's expectation","is not matching- matching the customer's expectation","is not meeting the customer's expectations","that the initial answer that regenerator is not meeting the customer's expectation",word_substitution,moderate,"Gemini hears 'matching' instead of 'meeting' (and preserves Kiriti's false start). Reduct pluralizes to 'expectations.' Rev inserts 'that regenerator' — likely a misheard 'regenerated' or stray fragment."
AK08,00:02:51,"This testing could be vibes or this testing could be","The testing could be vibes or the testing could be","this testing could be wipes or this testing could be","This testing could be wipes or this testing could be",word_substitution,critical,"The /v/-/w/ confusion. Reduct AND Rev both render 'wipes' instead of 'vibes' — likely a phonetic mishearing tied to Indian-accented English. Only Gemini correctly captures 'vibes.' This is the single most consequential divergence in the clip: the entire eval-vs-vibes debate hinges on the word 'vibes.'"
AK09,00:02:58,"I have these 10 questions that it should not go wrong","I have this like 10 questions that it should not go wrong in any no matter what changes I make","I have this like 10 questions that it should not go wrong, no matter what changes I make","I have this 10 questions that it should not go wrong",word_addition,minor,"Gemini adds 'in any' before 'no matter' (transcription artifact). Disfluency 'this' vs 'these' all retained."
AK10,00:03:15,"you cannot practically sit and evaluate all the traces","you cannot practically sit and evaluate all the traces","you cannot tactically sit and evaluate all the traces","you cannot practically sit and evaluate all the traces",word_substitution,critical,"Reduct hears 'tactically' instead of 'practically' — a single-letter phonetic confusion that flips meaning. Gemini and Rev correct."
AK11,00:03:25,"you cannot predict the ways in which your agent could be doing wrong","you cannot predict your the ways in which your agent could be doing wrong","you cannot predict the base in which your agent could be doing wrong","you cannot predict the base in which your agent could be doing wrong",word_substitution,critical,"Reduct AND Rev both hear 'the base' instead of 'the ways.' This is a substantive content error. Gemini correct (with a stray 'your' artifact)."
AK12,00:04:10,"I built an evaluation dataset for my agent trying to offer refunds where explicitly I have configured it not to","I built an evaluation data set for my agent trying to offer refunds where explicitly I have configured it not to","I built an evaluation data set for my agent trying to offer refunds where explicitly I have configured it not to","I built an evaluation dataset for my agent trying to offer refunds where explicitly I have configured it not to",technical_term_error,minor,"'dataset' vs 'data set' — formatting/tokenization difference. Gemini and Reduct render two words; Rev and ground truth render one."
AK13,00:04:38,"I feel evals are important, production monitoring is important","I feel evals are important production monitoring is important","I feel evals are important, production monitoring is important","I feel evals are important, production monitoring is important",word_substitution,minor,All transcripts preserve substantive content.
AK14,00:04:48,"Lenny: All right. A very reasonable answer.","Host (Kiriti): All right. A very reasonable answer.","Speaker 2: All right. A very reasonable answer.","Lenny Rachitsky: All right. A very reasonable answer.",speaker_misattribution,critical,"Gemini continues misattributing Lenny as 'Host (Kiriti)' — same error as AK02. Reduct generic. Only Rev correct."
