divergence_id,episode,source_type,output_type,divergence_type,severity,exact_quote,comparison_quote,notes
2,chip,youtube_video,summary,theme_present_one_source_only,moderate,dismantles the common misconception that performance gains come from fine-tuning or picking the 'best' model,[not present in transcript summary],Video summary frames Chip as actively dismantling a misconception; transcript summary does not include this adversarial framing.
3,chip,rev_transcript,summary,theme_present_one_source_only,moderate,explores the organizational shift toward 'AI Engineering',[not present in video summary],Transcript summary introduces the concept of 'AI Engineering' as an organizational shift. Video summary never mentions this term or theme.
4,chip,rev_transcript,summary,vocabulary_import,moderate,AI Engineering,[not present in video summary],'AI Engineering' as a named discipline may be imported by the NLM from broader training data rather than transcribed from the source audio.
5,chip,youtube_video,summary,specificity_loss,moderate,the real value lies in robust evaluation (evals) and system thinking,"optimizing end-to-end workflows, and preparing better data","Video summary collapses specifics into 'robust evaluation and system thinking'; transcript summary names concrete actions (workflows, data prep)."
6,chip,rev_transcript,summary,specificity_gain,moderate,"optimizing end-to-end workflows, and preparing better data",the real value lies in robust evaluation (evals) and system thinking,Transcript summary provides more concrete operational advice than the video summary's abstract framing.
7,chip,youtube_video,summary,framing_divergence,moderate,we are facing an idea crisis where the abundance of powerful tools highlights a lack of creative vision,serves as a strategic guide for navigating the idea crisis in modern tech by prioritizing pragmatic utility over speculative experimentation,Both mention 'idea crisis' but video frames it as a diagnosis (lack of creative vision) while transcript frames it as something to be navigated strategically.
8,chip,rev_transcript,summary,framing_divergence,moderate,the text serves as a strategic guide,[video summary does not characterize the source as a 'strategic guide'],Transcript summary adds a meta-framing label ('strategic guide') that the video summary does not. This is an editorial overlay by the NLM.
9,chip,rev_transcript,summary,vocabulary_import,minor,technical masterclass,[not present in video summary],'Technical masterclass' is an evaluative label likely imported by the NLM rather than present in the source material.
10,chip,youtube_video,summary,claim_present_one_source_only,moderate,mechanics of Reinforcement Learning from Human Feedback (RLHF) and Retrieval-Augmented Generation (RAG),mechanics of post-training and reinforcement learning,Video summary names both RLHF and RAG explicitly; transcript summary uses only 'post-training and reinforcement learning' — RAG absent.
11,chip,rev_transcript,summary,specificity_loss,moderate,mechanics of post-training and reinforcement learning,mechanics of Reinforcement Learning from Human Feedback (RLHF) and Retrieval-Augmented Generation (RAG),Transcript summary drops RAG entirely and uses the less specific 'post-training' label.
12,chip,rev_transcript,summary,claim_present_one_source_only,moderate,"refine a model's statistical likelihoods into reliable, expert-level outputs",[not present in video summary],Transcript summary includes this specific characterization of what post-training does. Video summary does not describe the mechanism.
13,chip,rev_transcript,summary,confidence_without_hedging,minor,future success depends on system thinking and the ability to bridge the gap between technical infrastructure and human experience,[video summary says 'system thinking to address holistic product needs'],"Transcript summary presents a confident prediction about 'future success' without hedging, where the video summary is more constrained."
14,chip,rev_transcript,summary,claim_present_one_source_only,minor,bridge the gap between technical infrastructure and human experience,[not present in video summary],This 'bridging' framing appears only in the transcript summary. May be an NLM interpolation.
15,chip,youtube_video,summary,theme_substitution,moderate,shifting the focus from model creation to the 'post-training' phase where specific business utility is defined,noting that future success depends on system thinking and the ability to bridge the gap between technical infrastructure and human experience,Both summaries cover post-training but substitute different framings: video emphasizes business utility; transcript emphasizes infrastructure-human gap.
16,chip,youtube_video,analysis,theme_substitution,critical,Prioritizing User Needs and Data Over AI Hype,Prioritizing Product Fundamentals Over AI Hype,"Theme 1 titles differ: video says 'User Needs and Data'; transcript says 'Product Fundamentals'. These frame the same content differently — one centers users, the other centers product discipline."
17,chip,youtube_video,analysis,specificity_loss,moderate,"teams should focus on talking to users, preparing high-quality data, and optimizing end-to-end workflows","you should focus on talking to users, preparing better data, writing better prompts, and optimizing end-to-end workflows",Video analysis omits 'writing better prompts' from the recommendation list. Transcript analysis includes it.
18,chip,rev_transcript,analysis,specificity_gain,moderate,writing better prompts,[not present in video analysis recommendation],Transcript analysis includes prompt-writing as a concrete recommendation; video analysis does not.
19,chip,youtube_video,analysis,theme_substitution,critical,Strategic Implementation of Evaluations (Evals),The Critical Role of Data Preparation and Post-Training,Theme 2 is entirely different between sources. Video selects evals as the second theme; transcript selects data preparation and post-training. These are substantively different topics drawn from the same source material.
20,chip,youtube_video,analysis,claim_present_one_source_only,critical,"organizations should implement evaluations strategically to guide product development, focusing heavily on core use cases and areas where failures could have catastrophic consequences",[not present in transcript analysis],The entire evals-as-theme-2 recommendation exists only in the video analysis. Transcript analysis replaces it with data preparation content.
21,chip,rev_transcript,analysis,claim_present_one_source_only,critical,"Invest heavily in data processing strategies—such as optimizing chunk sizes, rewriting data into question-answering formats, and adding contextual metadata",[not present in video analysis],"Entire data-preparation theme with specific techniques (chunk sizes, QA formats, metadata) exists only in the transcript analysis."
22,chip,rev_transcript,analysis,specificity_gain,critical,"optimizing chunk sizes, rewriting data into question-answering formats, and adding contextual metadata",[not present in video analysis],Highly specific technical claims in transcript analysis that are completely absent from video analysis. Source reliability unclear.
23,chip,youtube_video,analysis,theme_substitution,minor,The Rising Value of System Thinking,The Shift from Basic Coding to Systems Thinking,Theme 3 titles differ slightly: 'Rising Value' vs. 'Shift from Basic Coding'. Transcript version implies a before/after trajectory; video version frames it as increasing importance.
24,chip,youtube_video,analysis,specificity_loss,minor,engineers should prioritize learning 'system thinking' so they can understand how different technical components interact holistically,"Encourage engineers to cultivate holistic systems thinking rather than just focusing on writing code, as AI tools can increasingly automate discrete coding tasks but still require human expertise to debug, design architectures, and understand how different components interact",Video analysis recommendation is shorter and less specific than the transcript version.
25,chip,rev_transcript,analysis,specificity_gain,minor,"human expertise to debug, design architectures, and understand how different components interact",[video analysis lacks these specifics],Transcript analysis names debugging and architecture design as specific system-thinking competencies; video analysis does not.
26,chip,youtube_video,analysis,structural_masking,moderate,[both analyses use identical numbered-theme format with recommendations and citations],[both analyses use identical numbered-theme format with recommendations and citations],"Despite selecting different themes for position 2, both outputs use the same confident structure and citation format, making the divergence invisible without cross-comparison."
27,aishwarya_kiriti,youtube_video,summary,proper_noun_garbled,critical,Aishwaria Raanti and Kiti Bottom,Aishwarya Reganti and Kiriti Badam,"Video summary garbles both names: 'Aishwaria Raanti' for Aishwarya Reganti, 'Kiti Bottom' for Kiriti Badam. Transcript summary renders them correctly."
28,aishwarya_kiriti,youtube_video,summary,proper_noun_garbled,critical,Aishwaria Raanti,Aishwarya Reganti,First name garbled in video summary. Audio-to-text pipeline produced phonetic approximation.
29,aishwarya_kiriti,youtube_video,summary,proper_noun_garbled,critical,Kiti Bottom,Kiriti Badam,Second name garbled in video summary. 'Badam' became 'Bottom'; 'Kiriti' became 'Kiti'.
30,aishwarya_kiriti,youtube_video,summary,claim_present_one_source_only,moderate,continuous calibration framework,"Continuous Calibration, Continuous Development (CCCD) framework",Video summary references a 'continuous calibration framework' without the full name; transcript summary names it 'CCCD' with expansion.
31,aishwarya_kiriti,rev_transcript,summary,specificity_gain,moderate,"Continuous Calibration, Continuous Development (CCCD)",continuous calibration framework,Transcript summary provides the full framework name and acronym that the video summary lacks.
