divergence_id,timestamp_approx,manual_audit_ground_truth,gemini_transcript,reduct_transcript,rev_transcript,divergence_type,severity,notes
HS01,00:00:00,"Hamel: The channel through which the customer is communicating is through text message","Hamel: The channel through which the customer is communicating is through text message","Speaker 1 [00:00:00]: the channel through which the customer is communicating is through text message","Hamel Husain: ...the channel through which the customer is communicating is through text message",speaker_misattribution,moderate,"Reduct labels everyone generic 'Speaker 1' / 'Speaker 2' across the entire 5-minute clip; Gemini and Rev correctly identify Hamel, Shreya, and Lenny by name throughout."
HS02,00:00:08,"like the words are being cut off, like 'in the meantime'","like the words are being cut off like 'in the meantime'","like the words are being cut off like in the meantime","The words are being cut off like, 'In the meantime,'",disfluency_handling,minor,"Rev capitalizes 'In the meantime' and adds quotation marks; Gemini preserves quotes; Reduct drops both."
HS03,00:00:15,"They like write short phrases. They, you know, split their sentence across four or five different turns.","They like write short phrases, they you know split their sentence across four or five different turns.","They're like write short phrases They you know split split their sentence across four or five different turns.","they write short phrases. They split their sentence across four or five different turns.",word_addition,moderate,"Reduct adds 'they're' before 'like' and duplicates 'split split' (transcription artifact). Rev removes 'like' and 'you know' entirely (editorial smoothing)."
HS04,00:00:20,"Lenny: Yeah, so what do you do with something like that?","Host: Yeah, so what do you do with something like that?","Speaker 1: So in this case, what do you do with something like that?","Lenny Rachitsky: Yeah, so what do you do with something like that?",speaker_misattribution,moderate,"Reduct merges Lenny's question into Hamel's preceding turn ('Speaker 1') instead of attributing to a separate speaker; Gemini uses generic 'Host'; Rev names Lenny correctly."
HS05,00:00:32,"Lenny: It's still really cool. Like, it's amazing you're catching that too here.","Host: It's still really cool. Like it's amazing you're catching that too here, otherwise you'd have no idea this was happening.","Speaker 1: it's amazing. You're catching that too here. Otherwise, you'd have no idea. This was happening","Lenny Rachitsky: Which is still really cool. ... It's amazing you're catching that, too, here. Otherwise, you'd have no idea this was happening.",speaker_misattribution,moderate,"Reduct again attributes Lenny's reaction to 'Speaker 1' (Hamel). Rev splits Lenny's two utterances into separate turns at different timestamps. Gemini consolidates correctly under 'Host.'"
HS06,00:00:38,"you would write a note like, 'conversation flow is janky because of text message'","you'll write a note like 'conversation flow is janky because of text message'","you would write a note like Conversation flow is Is janky Because of text message","you would write a note like, 'Oh, conversation flow is janky because of text message.'",word_addition,minor,"Reduct adds an extra 'Is' before 'janky' (stutter artifact). Rev adds 'Oh' before the quoted phrase. Gemini's 'you'll' vs 'you would' is a contraction difference."
HS07,00:01:05,"Just write down the first thing that you see that's wrong, the most upstream error.","just write down the first thing that you see that's wrong. The most upstream error.","Just write down the first thing that you see that's wrong the most upstream error.","just write down the first thing that you see that's wrong, the most upstream error.",word_substitution,minor,"All three preserve the substantive content; punctuation differs."
HS08,00:01:31,"Just capture the first thing that you see that's wrong, and stop and move on.","just capture the most... the first thing that you see that's wrong and stop and move on.","Just capture The most the first thing that you see that's wrong and stop and move on","just capture the first thing that you see that's wrong, and stop, and move on.",disfluency_handling,minor,"Gemini and Reduct both preserve Hamel's 'the most... the first' false start. Rev removes the false start (editorial smoothing)."
HS09,00:01:34,"with either one or two baths","with either one or two baths","with either one or two bats","with either one or two baths",word_substitution,critical,"Reduct hears 'bats' instead of 'baths' — likely /θ/ phoneme dropped to /t/. Changes a real-estate-listing context to a non-sequitur."
HS10,00:01:46,"We do offer virtual tours.","We do offer virtual tour tours,","We do offer virtual tool tours","We do offer virtual tours.",word_substitution,critical,"Reduct produces 'virtual tool tours' (likely a misheard 'virtual tours' with an inserted 'tool'). Gemini stutters with 'virtual tour tours.' Rev clean."
HS11,00:01:54,"It just so happens that there's no virtual tour, right?","It just so happens that there's no virtual tour, right?","It just so happens that there's no virtual tour Right","It just so happens that there is no virtual tour, right?",word_substitution,minor,"Rev expands contraction 'there's' to 'there is' (editorial smoothing); content otherwise identical."
HS12,00:01:59,"Right? So, you know, it is hallucinating something that doesn't exist","Right? So you know it is hallucinating something that doesn't exist","Right, so, you know it is Hallucinating something that doesn't exist","So it is hallucinating something that doesn't exist.",disfluency_handling,minor,"Rev removes 'Right?' and 'you know' entirely. Gemini and Reduct preserve disfluencies."
HS13,00:02:00,"and you would kind of have to bring your context as an engineer, or even your product context","and you would kind of have to bring your context as an engineer or even your product context","and you would you kind of have to bring your context as an engineer or even you know Product content","Then you kind of have to bring your context as an engineer, or even product content,",word_substitution,moderate,"Reduct: 'product content' (vs 'product context') — substitutes a different real word. Rev also has 'product content' (likely a transcription error inherited or made independently). Gemini correct: 'product context.'"
HS14,00:02:12,"we shouldn't be telling a person about a virtual tour when it's not offered","we shouldn't be telling person about virtual tour when it's not offered","we shouldn't be Telling person about virtual tour when it's not offered","We shouldn't be telling a person about virtual tour when it's not offered.",word_omission,minor,"Gemini and Reduct both omit 'a' before 'person' and 'a' before 'virtual tour' (article-dropping pattern in casual speech). Rev preserves one 'a' but not the other."
HS15,00:02:18,"there's a diversity of different kinds of errors that we're seeing","there's a diversity of different kinds of errors that we're seeing","there's a diversity of different kinds of errors that we're seeing","there's a diversity of different kinds of errors that we're seeing",word_substitution,minor,All three transcripts agree on this content.
HS16,00:02:26,"Shreya: One common question that we get from people at this stage","Shreya: One common question that we get from people at this stage","Speaker 1: One common question that we get from people at this stage","Shreya Shankar: One common question that we get from people at this stage",speaker_misattribution,moderate,"Reduct continues 'Speaker 1' label for Shreya's first turn — fails to register the speaker change from Hamel to Shreya."
HS17,00:02:35,"And I loved Hamel's most recent example","And I loved Hamel's most recent example","And I loved how most most recent example","And I loved Hamel's most recent example",proper_noun_error,critical,"Reduct hears 'how most' instead of 'Hamel's most' — completely garbles the proper noun. Suggests poor handling of the name 'Hamel.'"
HS18,00:02:51,"if I put that into ChatGPT","if I put that into ChatGPT","if I put that into chat GPT","if I put that into chat GPT",technical_term_error,minor,"Reduct and Rev both render 'chat GPT' as two words; Gemini renders 'ChatGPT' as one. Formatting/tokenization difference for a technical brand name."
HS19,00:03:02,"But Hamel had the context of knowing we don't actually have this virtual tour functionality","But Hamel had the context of knowing we don't actually have this virtual tour functionality","but Hamill had the context of knowing Oh, we don't actually have this virtual tour functionality","But Hamel had the context of knowing, 'Oh, we don't actually have this virtual tour functionality,'",proper_noun_error,critical,"Reduct: 'Hamill' (misspelled name). Reduct also adds 'Oh,' which Rev preserves but Gemini and ground truth omit."
HS20,00:03:13,"And we'll talk... we can talk a little bit more","And we'll talk... we can talk a little more","We'll talk a little we can talk a little bit more","And we can talk a little bit more",word_substitution,minor,"Hamel/Shreya self-correct mid-sentence ('we'll talk... we can talk'). Rev removes the false start; Gemini and Reduct preserve it differently."
HS21,00:03:22,"Lenny: Do you think they'll—we'll get to a place where an agent can do this, where it has that context?","Host: Do you think they'll... we'll get to a place where an agent can do this without... has that context?","Do you think they'll will get to a place where where an agent can do this?","Lenny Rachitsky: Do you think we'll get to a place where an agent can do this, where it has that context?",word_substitution,moderate,"Reduct duplicates 'where where.' Rev removes the 'they'll—we'll' false start (editorial smoothing). Gemini preserves the false start with ellipsis."
HS22,00:03:27,"Shreya: Oh no no no, sorry.","Shreya: Oh no no no, sorry.","Speaker 2: Oh, no Sorry,","Shreya Shankar: Oh, no. No, no, no. Sorry.",disfluency_handling,minor,"Reduct collapses 'no no no' to a single 'no' (loses the emphatic repetition). Rev formats as separate sentences."
HS23,00:03:39,"is not the place for an LLM","is not the place for an LLM","is not the place for an LLM","note-taking is not the place for an LLM",word_substitution,minor,All preserve the substantive content; phrasing minor differences only.
HS24,00:03:43,"Lenny: Got it. And this is something you call open coding, this step?","Host: Got it. And this is something you call open coding, this step?","And this is something you call open coding.","Lenny Rachitsky: Got it. And this is something you call open coding, this step?",word_omission,moderate,"Reduct drops 'Got it' and 'this step?' — significantly truncates Lenny's question."
HS25,00:04:07,"benevolent dictator is just a catchy term","Benevolent dictator is just a catchy Term","Benevolent dictator is just a catchy Term","benevolent dictator is just a catchy term",word_substitution,minor,"All preserve the key term 'benevolent dictator' correctly. Capitalization differs."
