error_id,timestamp_approx,manual_audit_ground_truth,gemini_transcript,reduct_transcript,rev_transcript,error_type,severity,notes
E01,00:00:00-00:00:09,"""as they have so few customers""","""as they have so few customers"" (Host)","[00:00:00] Speaker 1: ""They have so few customers""",(not in 22:00-27:00 extract — this is pre-segment intro by Lenny at ~21:50),word_omission,minor,"Reduct drops ""as"" at the start; Reduct attributes to Speaker 1 (correct for host). Lenny published version begins at 22:00 with Chip's response, so host setup line is cut."
E02,00:00:09 / ~22:00,[ambiguous — see notes],"""I'm much less bearish on it""","""I'm actually a bit bearish on it""","""I'm not sure if I'm bearish on it""",word_substitution,critical,"Three contradictory readings of the same utterance. Gemini: ""I'm much less bearish"" (mildly positive). Reduct: ""I'm actually a bit bearish"" (negative). Lenny: ""I'm not sure if I'm bearish"" (uncertain). The audio likely contains hedging/mumbling that each service resolved differently."
E03,00:00:09 / ~22:00,Um,"""Um, I think I'm curious""","(no ""Um"" — starts ""I think I'm curious"")","""I think I'm curious""",disfluency_handling,minor,"Gemini preserves the ""Um""; Reduct and Lenny both drop it. Standard variation in disfluency policy."
E04,00:00:13 / ~22:05,[ambiguous — see notes],"""things have had a way of work out""","""things have, has a way of work out""","""things has a way of work out""",disfluency_handling,minor,"Self-correction captured differently. Likely ""things have had a way of work out"" or ""things has a way of work out"". Gemini smooths to ""have had""; Reduct captures the false start ""have, has""; Lenny settles on ""has"". None is standard English; Chip likely self-corrected mid-word."
E05,00:00:20 / ~22:10,[ambiguous — see notes],"""maybe they will be able to use that""","""Maybe they wouldn't be able to use that"" (Speaker 3)",maybe they wouldn't be able to use that,word_substitution,critical,"Polarity ambiguity. Either ""maybe they will be able to use that"" or ""maybe they wouldn't be able to use that"". Gemini hears ""will be able"" (positive: companies CAN use data). Reduct and Lenny hear ""wouldn't be able"" (negative: companies CANNOT use data). Given context (Chip expressing cautious optimism), ""will be able"" (Gemini) is likely correct."
E06,00:00:20 / ~22:10,"""some insight"" vs ""some insights""","""some insight""","""some insights""","""some insight""",word_substitution,minor,Singular vs. plural — trivial.
E07,00:00:09-00:00:29,[see notes — speaker attribution issue],Chip Huyen (single speaker block),Split across Speaker 2 and Speaker 3,Chip Huyen (single speaker block),speaker_misattribution,moderate,"Reduct splits Chip's single continuous answer across two different speaker labels (Speaker 2 and Speaker 3), fragmenting a single person's utterance. This is a persistent pattern throughout the Reduct transcript."
E08,00:00:31-00:00:38,A very fair answer. Okay while we're on this topic,"""A very fair answer. Okay, well while we're on this topic"" (Host)","""A very fair answer"" (Speaker 1) then ""Okay"" (Speaker 4) then continuing (Speaker 1)","A very fair answer. Okay, while we're on this topic",word_omission,minor,"Host transition. Gemini includes ""well"" before ""while""; Lenny and Reduct omit it. Reduct also splits the ""Okay"" into a separate Speaker 4 turn."
E09,00:00:38,data content,"""data content""",not present as separate phrase,"""data content""",technical_term_error,moderate,"The phrase ""data content"" appears in both Gemini and Lenny but is unclear in context. May be a mishearing of ""data, content"" (two separate items) or something else entirely. The underlying speech is ambiguous."
E10,00:00:38,"""Can you just talk about""","""Can you just talk about what an eval is""","[truncated differently] ""just talk about what an eval is""","""Can you just talk about what an eval is""",word_omission,minor,Minor omission differences in host setup question across transcripts.
